Date,AGG,GLD,SPY,BTC
2022-03-30,98.05261993408203,180.5800018310547,441.8343505859375,47062.6640625
2022-03-31,98.00686645507812,180.64999389648438,435.0339660644531,45538.67578125
2022-04-01,97.83273315429688,179.5,436.266845703125,46281.64453125
2022-04-04,97.91525268554688,180.3699951171875,440.004150390625,46622.67578125
2022-04-05,96.92544555664062,179.24000549316406,434.4463806152344,45555.9921875
2022-04-06,96.67799377441406,179.66000366210938,430.1021728515625,43206.73828125
2022-04-07,96.46721649169922,180.33999633789062,432.26947021484375,43503.84765625
2022-04-08,95.98149871826172,181.47000122070312,431.1135559082031,42287.6640625
2022-04-11,95.5690689086914,182.3699951171875,423.7448425292969,39521.90234375
2022-04-12,95.87149810791016,183.77000427246094,422.1748046875,40127.18359375
2022-04-13,96.06397247314453,184.64999389648438,427.0102233886719,41166.73046875
