Date,AGG,GLD,SPY,BTC
2022-03-30,98.05262756347656,180.5800018310547,441.8343505859375,47062.6640625
2022-03-31,98.00688171386719,180.64999389648438,435.0339050292969,45538.67578125
2022-04-01,97.83274841308594,179.5,436.266845703125,46281.64453125
2022-04-04,97.91522216796875,180.3699951171875,440.00421142578125,46622.67578125
2022-04-05,96.92545318603516,179.24000549316406,434.4463806152344,45555.9921875
2022-04-06,96.67800903320312,179.66000366210938,430.1022033691406,43206.73828125
2022-04-07,96.46723937988281,180.33999633789062,432.26947021484375,43503.84765625
2022-04-08,95.98147583007812,181.47000122070312,431.1136169433594,42287.6640625
2022-04-11,95.56908416748047,182.3699951171875,423.7449035644531,39521.90234375
2022-04-12,95.87150573730469,183.77000427246094,422.1748046875,40127.18359375
2022-04-13,96.06398010253906,184.64999389648438,427.01025390625,41166.73046875
