Date,AGG,GLD,SPY,BTC-USD
2022-12-19,92.46178436279297,166.32000732421875,370.8337707519531,16439.6796875
2022-12-20,91.8343734741211,169.0800018310547,371.3411560058594,16906.3046875
2022-12-21,92.08720397949219,168.8000030517578,376.8936462402344,16817.53515625
2022-12-22,92.0591049194336,166.75999450683594,371.5168151855469,16830.341796875
2022-12-23,91.7407455444336,167.25999450683594,373.6539001464844,16796.953125
2022-12-27,91.07588195800781,168.6699981689453,372.18035888671875,16717.173828125
2022-12-28,90.91669464111328,167.91000366210938,367.55499267578125,16552.572265625
2022-12-29,91.25377655029297,168.85000610351562,374.17108154296875,16642.341796875
2022-12-30,90.82302856445312,169.63999938964844,373.1855163574219,16602.5859375
2023-01-03,91.35678100585938,171.05999755859375,371.61444091796875,16679.857421875
2023-01-04,91.86246490478516,172.6699981689453,374.4833679199219,16863.23828125
2023-01-05,91.78755187988281,170.52000427246094,370.209228515625,16836.736328125
2023-01-06,92.78949737548828,173.7100067138672,378.6989440917969,16951.96875
2023-01-09,93.02360534667969,174.10000610351562,378.4842224121094,17196.5546875
2023-01-10,92.66777038574219,174.74000549316406,381.13848876953125,17446.29296875
2023-01-11,93.2389907836914,174.6199951171875,385.95904541015625,17934.896484375
2023-01-12,93.91321563720703,176.63999938964844,387.3642272949219,18869.587890625
2023-01-13,93.56675720214844,178.75999450683594,388.8670349121094,19909.57421875
2023-01-17,93.3981704711914,177.58999633789062,388.1546936035156,21161.51953125
2023-01-18,94.32524108886719,177.0800018310547,382.0265197753906,20688.78125
2023-01-19,94.10986328125,179.88999938964844,379.2453918457031,21086.79296875
2023-01-20,93.7259292602539,179.2899932861328,386.31036376953125,22676.552734375
2023-01-23,93.49182891845703,179.6300048828125,390.9455261230469,22934.431640625
2023-01-24,93.90384674072266,180.27999877929688,390.5259704589844,22636.46875
2023-01-25,94.01622772216797,181.11000061035156,390.6723327636719,23117.859375
2023-01-26,93.85702514648438,179.47000122070312,394.9659423828125,23032.77734375
2023-01-27,93.71659088134766,179.22000122070312,395.8734436035156,23078.728515625
2023-01-30,93.46372985839844,178.75999450683594,390.906494140625,22840.138671875
2023-01-31,93.84765625,179.41000366210938,396.6541442871094,23139.283203125
2023-02-01,94.50944519042969,181.6699981689453,400.86968994140625,23723.76953125
2023-02-02,94.61270904541016,177.89999389648438,406.7052001953125,23471.87109375
2023-02-03,93.7021713256836,173.4600067138672,402.3822326660156,23449.322265625
2023-02-06,93.1858901977539,173.82000732421875,399.92315673828125,22760.109375
2023-02-07,93.02629852294922,173.97999572753906,405.153564453125,23264.291015625
2023-02-08,93.15769958496094,174.41000366210938,400.7233581542969,22939.3984375
2023-02-09,92.79161834716797,173.02999877929688,397.2493591308594,21819.0390625
2023-02-10,92.38798522949219,173.36000061035156,398.1764221191406,21651.18359375
2023-02-13,92.66958618164062,172.47999572753906,402.8506164550781,21808.1015625
2023-02-14,92.34103393554688,172.61000061035156,402.6652526855469,22220.8046875
2023-02-15,92.1626968383789,170.88999938964844,403.9728698730469,24307.841796875
2023-02-16,91.7778091430664,170.75,398.41058349609375,23623.474609375
2023-02-17,91.99370574951172,171.25999450683594,397.415283203125,24565.6015625
2023-02-21,91.1301040649414,170.6199951171875,389.4427795410156,24436.353515625
2023-02-22,91.37415313720703,169.66000366210938,388.9061279296875,24188.84375
2023-02-23,91.70272064208984,169.57000732421875,390.9748229980469,23947.4921875
2023-02-24,91.17704010009766,168.35000610351562,386.79827880859375,23198.126953125
2023-02-27,91.35538482666016,169.00999450683594,388.1156921386719,23522.87109375
2023-02-28,91.34600067138672,169.77999877929688,386.6811828613281,23147.353515625
2023-03-01,90.82282257080078,170.75999450683594,385.19793701171875,23646.55078125
2023-03-02,90.63463592529297,170.66000366210938,388.1937255859375,23475.466796875
2023-03-03,91.34976959228516,172.49000549316406,394.41949462890625,22362.6796875
2023-03-06,91.12394714355469,171.6199951171875,394.6927185058594,22429.7578125
2023-03-07,91.00160217285156,168.6199951171875,388.6426086425781,22219.76953125
2023-03-08,90.90750885009766,168.5399932861328,389.2768859863281,21718.080078125
2023-03-09,91.23685455322266,170.1999969482422,382.09478759765625,20363.021484375
2023-03-10,92.3001480102539,173.8699951171875,376.58135986328125,20187.244140625
2023-03-13,93.03411102294922,177.86000061035156,376.04461669921875,24197.533203125
2023-03-14,92.48835754394531,176.8300018310547,382.2607116699219,24746.07421875
2023-03-15,93.41051483154297,178.2100067138672,379.8699035644531,24375.9609375
2023-03-16,93.04352569580078,178.57000732421875,386.5348205566406,25052.7890625
2023-03-17,93.6269302368164,183.77000427246094,382.0151672363281,27423.9296875
2023-03-20,93.25053405761719,183.83999633789062,385.6884765625,27767.236328125
2023-03-21,92.96822357177734,180.3699951171875,390.7527770996094,28175.81640625
